QuestionNumber,Type,Excerpt,Question
1,Dialogue,"Are you ready for the history test tomorrow? - Not really. I studied last night, but I still feel nervous. - Don’t worry. The teacher said it will be mostly about the last two chapters. - That helps. I’ll review my notes again this evening and go to bed early so I can feel fresh in the morning.","Why is the student nervous?"
2,Dialogue,"What are your plans for the weekend? - I’m going camping with my cousins near the lake. - That sounds fun. Are you staying in a tent? - Yes, and we’re going to cook outside and maybe go fishing if the weather is nice.","Where are they going camping?"
3,Dialogue,"Did you buy the birthday present for Sarah? - Yes, I found a nice book at the bookstore. She loves reading adventure stories. - That’s perfect. Are we meeting at her house at seven? - Yes, her party starts at seven thirty.","What did they buy for Sarah?"
4,Dialogue,"Why are you carrying so many bags? - I went to the supermarket after work. There were special discounts today. - That’s good. Did you buy everything you needed? - Yes, and I even saved some money.","Why does the speaker have many bags?"
5,Dialogue,"Have you ever traveled by plane? - Yes, I flew to Italy last year with my family. - Were you scared? - A little at first, but the flight was smooth and the staff were very friendly.","Where did the speaker travel last year?"
6,Dialogue,"Can you help me choose a movie? - Sure. Do you prefer a comedy or an action film? - I feel tired, so maybe something funny. - There’s a new comedy that everyone is talking about. Let’s watch that one.","What kind of movie do they decide to watch?"
7,Dialogue,"Why are you looking at apartments online? - Because I want to move closer to my university. - Is your current apartment far away? - Yes, it takes almost an hour by bus every day.","Why does the speaker want to move?"
8,Dialogue,"Do you play any musical instruments? - I play the guitar, and I’m learning the piano. - That’s impressive. Do you practice every day? - I try to practice at least thirty minutes after school.","Which instrument is the speaker learning?"
9,Dialogue,"Are you feeling better today? - Yes, the medicine helped a lot. - That’s good to hear. You should still rest at home. - I will. I don’t want to get sick again.","What helped the speaker feel better?"
10,Dialogue,"What time does the shopping mall close? - It closes at nine in the evening during the week. - Great, we still have two hours to buy the shoes you wanted. - Perfect, let’s go now.","When does the mall close?"
11,Monologue,"Last Saturday, I cleaned my entire apartment. First, I washed the dishes and cleaned the kitchen. Then I vacuumed the living room and organized my desk. It took me almost four hours to finish everything. After that, I felt very tired but also proud because my home looked fresh and tidy again.","How long did it take to clean the apartment?"
12,Monologue,"Every summer, my family visits a small village near the mountains. We stay in a simple hotel and spend most of our time outdoors. During the day, we go hiking and take photos of nature. In the evening, we enjoy quiet dinners together. It is our favorite way to relax.","Where does the family go every summer?"
13,Monologue,"I decided to start jogging in the mornings. At first, I could only run for five minutes without stopping. However, after a few weeks, I became stronger and could run for twenty minutes. Now jogging is part of my daily routine, and I feel healthier than before.","When does the speaker go jogging?"
14,Monologue,"My best friend recently started a new job at a bank. She works from nine to five and helps customers with their accounts. Although the work can be stressful, she enjoys learning new skills and meeting different people every day.","Where does the friend work?"
15,Monologue,"Yesterday, I lost my wallet on the bus. I was very worried because it had my identification card and some money inside. Luckily, someone found it and gave it to the bus driver. I got it back in the afternoon and felt very relieved.","Where was the wallet lost?"
16,Monologue,"I enjoy reading before going to sleep. Usually, I choose short stories because they are easy to finish in one night. Reading helps me relax and forget about my problems from the day. It also improves my vocabulary and imagination.","When does the speaker read?"
17,Monologue,"Our school recently opened a new sports center. It has a large gym, a swimming pool, and two basketball courts. Students can use the center after classes or during special activities. Many students are excited about the new facilities.","What facilities does the sports center have?"
18,Monologue,"Last month, I adopted a small dog from an animal shelter. At first, he was shy and afraid of strangers. After a few weeks, he became more confident and playful. Now he follows me everywhere and makes my days happier.","Where did the speaker get the dog?"
19,Monologue,"Every Friday evening, I call my grandparents. They live in another city, so I cannot see them very often. We talk about school, work, and family news. These conversations are very important to me.","How often does the speaker call their grandparents?"
20,Monologue,"Next year, I plan to learn how to drive. I want to take driving lessons and practice with my father. Having a driver’s license will help me travel more easily and find better job opportunities in the future.","What does the speaker plan to learn next year?"
21,Dialogue,"Have you decided whether to accept the job offer? - I’m still thinking about it. The salary is good, but the office is quite far from my home. - Couldn’t you move closer? - That would mean leaving my family and friends. I like the position, but I’m not sure if I’m ready for such a big change in my life right now.","Why is the speaker unsure about the job offer?"
22,Dialogue,"Did you enjoy the conference last weekend? - Yes, especially the workshop on digital marketing. It gave me practical ideas that I can apply to my small business. - That’s great. Do you think it was worth the registration fee? - Definitely. I’ve already started planning changes based on what I learned there.","What did the speaker find most useful at the conference?"
23,Dialogue,"You’ve been practicing the guitar a lot lately. - Yes, I’m preparing for a small performance at a local café. - That’s exciting. Are you nervous? - A little, but I think it’s a good opportunity to challenge myself and gain more confidence in front of an audience.","Why is the speaker practicing the guitar?"
24,Dialogue,"Have you considered taking an online course to improve your skills? - I have, but I’m worried I won’t have enough time to complete it. - Many courses allow you to study at your own pace. - That might work for me. If I can organize my schedule properly, I could manage both work and study.","What is the speaker worried about?"
25,Dialogue,"Why did you change your daily routine recently? - I realized I was spending too much time on my phone in the evenings. - So what do you do now instead? - I read books or go for a short walk. It helps me sleep better and feel more relaxed.","Why did the speaker change the routine?"
26,Dialogue,"Are you planning to attend the networking event tomorrow? - I wasn’t sure at first, but I think I will go. - It could be useful for meeting new professional contacts. - Exactly. Even if I feel shy at first, it’s important to step out of my comfort zone sometimes.","Why does the speaker decide to attend the event?"
27,Dialogue,"You look tired today. Did something happen? - I stayed up late finishing a report for my manager. - That sounds exhausting. - It was, but I feel satisfied because I managed to complete it before the deadline.","Why did the speaker stay up late?"
28,Monologue,"Last year, I decided to reduce my expenses and start saving money more seriously. I began by tracking everything I spent for a month. I was surprised to see how much I used to spend on unnecessary items, especially takeaway food and online shopping. By making small changes, like cooking at home and planning my purchases, I managed to save enough money to start an emergency fund.","What helped the speaker start saving money?"
29,Monologue,"When I moved to a new city for work, I didn’t know anyone. At first, I felt lonely and unsure about my decision. However, I joined a local sports club and started attending community events. Slowly, I made new friends and began to feel more comfortable in my surroundings. Now I consider the city my home.","How did the speaker adapt to the new city?"
30,Monologue,"In my opinion, learning a foreign language opens many doors. It not only improves communication skills but also helps people understand different cultures and perspectives. Although the process can be challenging at times, regular practice and patience usually lead to noticeable progress over time.","What is one benefit of learning a foreign language mentioned by the speaker?"
31,Monologue,"A few months ago, I started volunteering at a community center that supports elderly people. I help organize activities such as board games and reading sessions. Spending time with them has taught me patience and empathy. It also made me realize how important social interaction is for people of all ages.","What has volunteering taught the speaker?"
32,Monologue,"Many people today rely heavily on technology to manage their daily lives. From setting reminders on smartphones to attending virtual meetings, digital tools make tasks more convenient. However, depending too much on technology can sometimes reduce our ability to solve problems independently.","What concern does the speaker express about technology?"
33,Monologue,"After failing an important exam, I felt disappointed and frustrated. For a few days, I avoided thinking about it. Eventually, I decided to analyze my mistakes and ask my teacher for advice. By changing my study methods and practicing more consistently, I passed the exam the second time.","How did the speaker improve after failing the exam?"
34,Monologue,"Working in a team can be both rewarding and challenging. On one hand, team members can share ideas and divide responsibilities. On the other hand, disagreements may arise if communication is unclear. Successful teamwork often depends on mutual respect and open discussion.","What is necessary for successful teamwork?"
35,Monologue,"In recent years, more people have started working remotely. While this offers flexibility and reduces commuting time, it can also create challenges such as feeling isolated or struggling to separate work from personal life. Finding a balance is essential to maintain productivity and well-being.","What challenge of remote work does the speaker mention?"